time	magnitude	longitude	latitude	depth(m)	sigma_time	sigma_amp	cov_time_amp	event_index	gamma_score
2017-11-02T03:46:33.837	1.430	-95.394	16.531	0.000	0.759	0.417	0.037	91	13.000
2017-11-02T04:08:32.666	1.705	-94.652	15.396	0.000	1.736	0.333	0.211	92	11.810
2017-11-02T04:14:07.179	2.555	-94.643	15.293	63900.122	2.116	0.423	0.241	93	26.864
2017-11-02T04:36:59.992	2.563	-94.305	15.056	0.000	1.701	0.386	0.272	94	22.866
2017-11-02T04:42:16.656	2.158	-94.725	15.567	0.000	1.479	0.424	0.141	95	13.771
2017-11-02T04:56:41.145	1.153	-94.441	15.407	0.000	0.927	0.251	0.046	96	9.998
2017-11-02T05:05:26.261	1.252	-95.160	16.520	37.421	0.599	0.411	0.164	97	12.993
2017-11-02T05:15:39.686	1.221	-94.973	16.514	87.452	1.271	0.436	-0.553	98	12.892
2017-11-02T05:20:35.900	1.219	-95.357	16.293	0.000	2.422	0.255	0.346	99	9.993
2017-11-02T05:26:18.269	2.459	-94.936	15.499	0.000	1.852	0.453	0.572	100	29.670
2017-11-02T05:28:57.080	2.461	-95.375	16.812	105195.846	2.049	0.453	0.537	101	29.964
2017-11-02T05:30:28.992	2.096	-95.132	17.182	149157.824	1.801	0.418	0.496	102	22.778
2017-11-02T05:38:16.760	1.454	-95.117	16.265	0.000	1.449	0.448	0.465	103	15.115
2017-11-02T05:43:47.782	1.775	-94.785	15.416	0.000	2.265	0.483	-0.961	104	15.379
2017-11-02T05:46:37.907	1.317	-95.255	16.553	0.000	0.968	0.483	-0.161	105	9.991
2017-11-02T05:59:11.058	1.422	-94.542	15.448	53051.824	1.203	0.470	0.208	106	11.155
2017-11-02T06:18:01.087	2.574	-94.948	15.901	57091.612	1.635	0.604	0.157	107	32.845
2017-11-02T06:21:35.643	1.117	-95.111	16.504	0.000	0.445	0.417	0.267	108	11.864
2017-11-02T06:31:26.703	1.290	-95.136	16.495	65.798	1.249	0.507	-0.692	109	13.685
2017-11-02T06:48:10.032	1.452	-94.658	15.444	0.000	1.249	0.354	0.176	110	10.977
2017-11-02T06:53:41.486	1.633	-95.270	15.957	23077.644	0.373	0.398	0.009	111	8.831
2017-11-02T07:32:12.821	1.688	-95.310	15.983	27925.847	0.627	0.299	0.004	112	11.961
2017-11-02T07:34:12.521	1.822	-96.390	15.613	2806.451	1.057	0.494	0.840	113	10.093
2017-11-02T07:36:05.132	1.705	-95.298	16.162	12554.406	0.837	0.314	0.091	114	14.656
2017-11-02T07:38:17.210	2.487	-94.738	15.460	0.000	1.787	0.379	0.430	115	24.370
2017-11-02T07:41:32.997	1.827	-94.467	15.197	0.000	1.918	0.352	0.013	116	13.239
2017-11-02T07:58:09.207	2.168	-92.698	15.682	37224.671	2.125	0.361	-0.224	117	16.540
2017-11-02T08:02:15.322	1.181	-95.564	16.522	30.893	1.424	0.387	-0.441	118	10.315
2017-11-02T08:05:24.495	1.146	-95.247	15.942	31.560	0.594	0.250	0.306	119	9.528
2017-11-02T08:16:03.732	1.598	-94.481	15.251	0.000	1.579	0.322	-0.000	120	14.244
2017-11-02T08:17:34.259	1.486	-95.168	16.500	0.000	0.786	0.313	-0.142	121	12.899
2017-11-02T08:25:19.834	1.642	-94.398	15.666	0.000	1.153	0.400	0.429	122	12.586
2017-11-02T08:35:42.128	2.165	-94.589	15.237	0.000	1.612	0.267	-0.118	123	19.721
2017-11-02T08:37:36.575	1.959	-94.617	15.416	0.000	1.624	0.314	0.118	124	15.847
2017-11-02T08:39:45.164	1.882	-94.849	16.634	0.000	0.751	0.409	0.059	125	16.860
2017-11-02T08:45:08.657	3.281	-94.744	15.447	0.000	1.824	0.338	0.097	126	17.393
2017-11-02T08:45:03.806	2.341	-95.062	15.443	1.612	2.273	0.362	-0.577	127	14.146
2017-11-02T08:49:08.976	1.964	-95.078	15.542	0.000	1.539	0.437	0.350	128	13.401
2017-11-02T08:51:09.218	1.555	-95.302	15.973	19149.099	0.942	0.418	0.540	129	10.584
2017-11-02T14:32:11.190	2.337	-94.964	15.800	0.000	1.977	0.485	0.446	130	22.867
2017-11-02T15:47:31.749	1.655	-95.179	16.510	60.776	1.672	0.286	0.220	131	15.999
2017-11-02T15:49:00.518	4.101	-95.255	16.029	52851.177	1.798	0.510	-0.214	132	29.893
2017-11-02T17:32:27.218	2.123	-95.443	16.526	39948.023	1.277	0.512	0.473	133	17.934
2017-11-02T17:50:07.398	2.064	-95.284	16.284	0.000	0.798	0.511	-0.005	134	18.000
2017-11-02T18:16:04.044	1.311	-95.298	16.164	15.481	0.276	0.354	-0.009	135	7.000
2017-11-02T19:29:04.290	2.039	-94.825	15.418	0.000	1.745	0.393	-0.496	136	16.009
2017-11-02T19:41:30.981	2.053	-95.265	16.142	13549.280	1.322	0.340	0.048	137	16.000
2017-11-02T20:20:16.081	2.191	-94.949	15.923	22140.559	1.147	0.305	-0.094	138	13.884
2017-11-02T20:41:31.571	1.518	-94.837	15.773	0.000	1.385	0.401	-0.033	139	10.881
2017-11-02T21:00:25.061	1.848	-95.293	16.163	63.490	0.730	0.323	0.073	140	9.997
2017-11-02T21:12:00.913	2.090	-95.164	16.514	0.000	1.251	0.474	-0.322	141	23.964
2017-11-02T21:43:49.658	1.893	-95.236	16.146	27412.690	1.436	0.525	0.831	142	13.999
2017-11-02T22:31:48.000	1.935	-94.724	15.615	0.000	1.554	0.287	0.087	143	9.969
2017-11-03T00:10:23.876	2.020	-95.141	16.530	0.000	1.012	0.389	0.036	144	26.000
2017-11-03T00:47:13.126	2.132	-95.139	16.508	0.000	1.391	0.303	-0.064	145	31.589
2017-11-03T01:04:49.925	1.617	-95.299	16.211	0.000	1.070	0.391	0.379	146	11.000
2017-11-03T01:26:11.077	1.802	-95.506	16.381	0.000	1.308	0.367	-0.985	147	11.341
2017-11-03T02:01:32.457	1.808	-95.271	16.111	0.000	0.492	0.381	-0.017	148	11.914
2017-11-03T02:04:23.336	1.864	-95.159	16.517	0.000	1.027	0.393	0.046	149	19.000
2017-11-03T02:44:09.474	1.754	-95.217	16.299	0.000	1.181	0.312	0.031	150	18.990
2017-11-03T03:02:17.517	2.731	-94.402	15.015	0.000	2.248	0.517	0.874	151	28.049
2017-11-03T03:15:03.860	1.465	-95.233	16.073	0.000	1.029	0.323	-0.402	152	12.983
2017-11-03T03:35:51.350	1.284	-95.268	16.131	11061.391	0.427	0.322	-0.182	153	11.923
2017-11-03T03:39:34.205	2.077	-94.915	16.688	0.000	0.605	0.426	0.511	154	16.873
2017-11-03T03:41:05.072	2.147	-94.731	15.434	0.000	1.564	0.416	0.770	155	14.398
2017-11-03T04:24:22.504	2.368	-95.134	16.513	0.000	1.143	0.477	0.202	156	27.989
2017-11-03T04:37:23.420	1.672	-95.265	16.141	11809.633	0.890	0.336	0.006	157	15.975
2017-11-03T04:56:36.517	1.401	-95.069	16.523	6.966	0.347	0.411	-0.533	158	10.999
2017-11-03T04:58:52.398	1.678	-94.732	15.376	0.000	1.797	0.343	-0.436	159	15.000
2017-11-03T05:02:18.791	1.500	-95.097	16.574	31.451	0.375	0.389	-0.025	160	9.948
2017-11-03T05:03:00.732	2.214	-94.612	15.284	0.000	1.570	0.353	-0.210	161	14.209
2017-11-03T05:09:47.588	2.039	-95.271	16.143	19128.944	1.187	0.468	0.106	162	24.854
2017-11-03T05:16:42.172	1.334	-95.378	16.151	15.170	1.032	0.395	0.135	163	16.028
2017-11-03T05:44:42.112	1.730	-95.187	16.502	0.000	1.022	0.306	0.105	164	17.989
2017-11-03T05:46:43.951	1.842	-94.992	16.473	0.000	1.177	0.552	-0.057	165	16.883
2017-11-03T05:49:21.193	1.182	-94.817	15.600	0.000	1.365	0.367	-0.339	166	13.999
2017-11-03T05:53:57.085	1.649	-95.402	16.313	19781.615	0.627	0.369	-0.057	167	13.000
2017-11-03T06:03:24.277	2.074	-94.457	16.538	147223.813	1.606	0.395	-0.106	168	12.015
2017-11-03T06:14:38.804	1.754	-95.102	16.541	0.000	0.799	0.472	0.475	169	16.918
2017-11-03T06:19:10.248	1.519	-95.235	16.492	0.958	0.323	0.265	-0.025	170	11.966
2017-11-03T06:33:57.107	2.452	-92.928	13.780	12.250	1.315	0.354	-0.108	171	11.918
2017-11-03T06:38:08.107	1.258	-95.277	16.200	0.000	0.675	0.378	-0.074	172	9.998
2017-11-03T06:39:34.170	1.782	-94.826	15.507	0.000	1.427	0.371	-0.188	173	11.051
2017-11-03T06:43:40.027	2.616	-94.764	15.676	0.000	1.243	0.404	0.351	174	19.020
2017-11-03T07:03:37.216	2.674	-94.130	15.342	0.000	1.128	0.439	0.877	175	19.339
2017-11-03T07:06:59.112	1.505	-94.713	15.527	0.000	1.628	0.267	0.633	176	11.934
2017-11-03T07:08:28.966	1.792	-95.244	15.973	25338.674	0.973	0.345	0.052	177	15.276
2017-11-03T07:38:46.315	2.818	-94.859	15.380	0.000	2.101	0.478	0.920	178	26.188
2017-11-03T07:46:45.706	1.849	-94.714	15.425	0.000	1.929	0.394	-0.007	179	21.536
2017-11-03T07:56:15.995	2.032	-95.165	16.517	0.000	1.360	0.416	0.346	180	24.870
2017-11-03T07:57:18.637	1.541	-94.927	15.612	0.000	1.334	0.402	-0.171	181	10.791
2017-11-03T07:59:23.852	1.975	-94.788	15.663	0.000	1.364	0.378	0.674	182	20.047
2017-11-03T08:04:17.716	1.642	-95.214	16.177	26851.607	1.042	0.444	-0.274	183	12.855
2017-11-03T08:08:34.633	1.857	-95.426	16.335	23302.516	1.099	0.470	0.019	184	20.953
2017-11-03T08:13:24.654	1.940	-94.526	16.494	13993.680	0.923	0.411	0.047	185	19.905
